Fund Holdings as of,"30 mar. 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Tecnologia de informação","Equity","9 303 533 067,55","7,38","9 303 533 067,55","56 327 015,00","165,17","Estados Unidos","NASDAQ","USD"
"AAPL","APPLE INC","Tecnologia de informação","Equity","8 392 982 169,06","6,66","8 392 982 169,06","34 030 662,00","246,63","Estados Unidos","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Tecnologia de informação","Equity","6 178 609 409,84","4,90","6 178 609 409,84","17 212 529,00","358,96","Estados Unidos","NASDAQ","USD"
"AMZN","AMAZON COM INC","Consumo discricionário","Equity","4 550 294 719,25","3,61","4 550 294 719,25","22 643 915,00","200,95","Estados Unidos","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Comunicação","Equity","3 690 975 490,00","2,93","3 690 975 490,00","13 495 340,00","273,50","Estados Unidos","NASDAQ","USD"
"AVGO","BROADCOM INC","Tecnologia de informação","Equity","3 224 644 851,35","2,56","3 224 644 851,35","10 990 235,00","293,41","Estados Unidos","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Comunicação","Equity","2 960 977 174,54","2,35","2 960 977 174,54","10 840 511,00","273,14","Estados Unidos","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Comunicação","Equity","2 719 378 479,74","2,16","2 719 378 479,74","5 069 873,00","536,38","Estados Unidos","NASDAQ","USD"
"TSLA","TESLA INC","Consumo discricionário","Equity","2 316 533 960,40","1,84","2 316 533 960,40","6 520 305,00","355,28","Estados Unidos","NASDAQ","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Produtos financeiros","Equity","2 017 568 436,30","1,60","2 017 568 436,30","4 250 555,00","474,66","Estados Unidos","New York Stock Exchange Inc.","USD"
"JPM","JPMORGAN CHASE & CO","Produtos financeiros","Equity","1 773 471 409,83","1,41","1 773 471 409,83","6 249 679,00","283,77","Estados Unidos","New York Stock Exchange Inc.","USD"
"XOM","EXXON MOBIL CORP","Energia","Equity","1 661 006 741,55","1,32","1 661 006 741,55","9 686 865,00","171,47","Estados Unidos","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Cuidados de saúde","Equity","1 628 587 696,27","1,29","1 628 587 696,27","1 836 829,00","886,63","Estados Unidos","New York Stock Exchange Inc.","USD"
"JNJ","JOHNSON & JOHNSON","Cuidados de saúde","Equity","1 354 577 996,31","1,07","1 354 577 996,31","5 586 119,00","242,49","Estados Unidos","New York Stock Exchange Inc.","USD"
"WMT","WALMART INC","Bens de primeira necessidade","Equity","1 254 897 949,50","1,00","1 254 897 949,50","10 161 117,00","123,50","Estados Unidos","NASDAQ","USD"
"V","VISA INC CLASS A","Produtos financeiros","Equity","1 167 228 001,90","0,93","1 167 228 001,90","3 896 735,00","299,54","Estados Unidos","New York Stock Exchange Inc.","USD"
"COST","COSTCO WHOLESALE CORP","Bens de primeira necessidade","Equity","1 024 825 070,36","0,81","1 024 825 070,36","1 028 342,00","996,58","Estados Unidos","NASDAQ","USD"
"MA","MASTERCARD INC CLASS A","Produtos financeiros","Equity","932 563 320,00","0,74","932 563 320,00","1 887 780,00","494,00","Estados Unidos","New York Stock Exchange Inc.","USD"
"CVX","CHEVRON CORP","Energia","Equity","915 561 710,17","0,73","915 561 710,17","4 345 127,00","210,71","Estados Unidos","New York Stock Exchange Inc.","USD"
"NFLX","NETFLIX INC","Comunicação","Equity","909 888 929,73","0,72","909 888 929,73","9 786 909,00","92,97","Estados Unidos","NASDAQ","USD"
"ABBV","ABBVIE INC","Cuidados de saúde","Equity","873 087 851,52","0,69","873 087 851,52","4 096 696,00","213,12","Estados Unidos","New York Stock Exchange Inc.","USD"
"MU","MICRON TECHNOLOGY INC","Tecnologia de informação","Equity","839 550 777,80","0,67","839 550 777,80","2 608 921,00","321,80","Estados Unidos","NASDAQ","USD"
"PG","PROCTER & GAMBLE","Bens de primeira necessidade","Equity","779 609 679,12","0,62","779 609 679,12","5 387 021,00","144,72","Estados Unidos","New York Stock Exchange Inc.","USD"
